ABADIA DOS DOURADOS|28300|22500|15200|13100|8500|5800
ABAETE|7980|6860|6020|4060|3220|2250
ACAIACA|18000|15000|12000|18000|13000|10000
ACUCENA|22000|18000|11000|21500|15000|10500
AGUA BOA|8500|8000|4500|7500|6000|800
AGUA COMPRIDA|23019.02|20685.79|18865.93|20530.73|20247.85|16199.54
AGUANIL|20000|13500|9500|11000|8500|6000
AGUAS FORMOSAS|7208|6420|5629|6488|4325|3566
AGUAS VERMELHAS|3600|2500|1400|2400|1700|1300
ALAGOA|12000|9000|6000|6000|4300|3200
ALEM PARAIBA|7000|6000|5500|5000|3500|2500
ALFENAS|64343.55|51474.84|46327.36|41823.31|32171.76|25737.42
ALFREDO VASCONCELOS|17000|11500|10000|17000|11500|7700
ALMENARA|5803.35|4813.28|4062.34|5803.35|3652.61|3242.88
ALPERCATA|10330|10330|8000|8000|7000|6500
ALPINOPOLIS|50000|47500|37500|27500|25000|15000
ALTEROSA|32901.66|26315.02|21984.86|19737.85|16447.68|13159.61
ALTO JEQUITIBA|33600|28800|14400|14400|9600|9600
ALTO RIO DOCE|16000|14500|8800|11000|10000|6500
ALVARENGA|11682|8441|4231|10127|4520|3954
ALVINOPOLIS|15000|8000|4500|12000|7500|6000
ALVORADA DE MINAS|11500|8700|6900|10400|7000|6000
AMPARO DA SERRA|26967.84|20286|15946|15577.94|13007|6900
ANDRADAS|31856|22441.05|13722.91|13939.73|13824|8780
ANDRELANDIA|8710.80|6964.37|5728.20|6474.38|5635.33|3877.16
ANGELANDIA|13500|10000|6000|9830|4830|2500
ANTONIO CARLOS|15125|11346.50|7494.30|15125|10491.80|7494.30
ANTONIO DIAS|12000|11300|10800|10200|8500|8400
ANTONIO PRADO DE MINAS|20000|13000|7000|12000|6000|6000
ARACAI|5850|4500|4050|3600|1800|1080
ARACITABA|18000|12000|7000|6000|4500|2500
ARACUAI|4125|2557|1072|3775|1748|1554
ARAGUARI|21219.75|16380.31|12489.73|11495.78|10079.55|5647.64
ARANTINA|7000|6000|5500|6000|6000|4000
ARAPONGA|20000|15000|7500|15000|12000|6000
ARAPORA|31922.10|25537.68|19578.90|19153.26|15961.05|10853.51
ARAPUA|24890|17711.08|14668.69|12050|7823.30|2499.11
ARAUJOS|17087.29|9119.73|8061.42|9109.73|8061.42|7690
ARAXA|24500|13300|9900|9000|6200|4700
ARCEBURGO|41300|32200|22000|24600|17000|10900
ARCOS|25200|17062.50|13812.75|17062.50|12180|6300
AREADO|41650|30940|23205|20825|15691|10670
ARGIRITA|16240|12000|8860|12000|8500|7000
ARICANDUVA|8500|7500|6000|7500|7000|5000
ARINOS|15000|10000|4000|8000|3000|1500
ASTOLFO DUTRA|21000|17200|14800|13500|9800|7500
ATALEIA|5906.70|5414.85|4923.10|3250|3250|3000
AUGUSTO DE LIMA|5000|4000|2800|4000|2800|1500
BAEPENDI|10800|8640|7560|7560|5400|3240
BALDIM|20040|16700|11133|11133|8906|7793
BANDEIRA|6500|5200|3900|6500|3900|3250
BARAO DE COCAIS|24000|19300|15300|15300|17600|15600
BARAO DO MONTE ALTO|13150|10332|8400|10920|7980|7980
BARBACENA|23819.73|20644.56|18262.57|15482.83|11909.87|9527.89
BARRA LONGA|15500|13200|11000|12400|11000|10000
BARROSO|12927|9322|5966|9322|5966|5966
BELA VISTA DE MINAS|13400|9000|3800|8480|5900|3700
BELMIRO BRAGA|10100|8900|7600|9150|7300|6850
BELO ORIENTE|37332|29866|22399|37332|22399|18666
BELO VALE|24433|18616|13962|24433|13962|11520
BERILO|5000|3000|2500|4200|7000|2800
BERIZAL|4100|2300|2200|2600|2400|2100
BERTOPOLIS|9000|7500|6000|5000|4000|3000
BIAS FORTES|6000|5000|3500|4500|4000|3500
BICAS|16240|12000|8860|12000|8500|7000
BIQUINHAS|10990.24|7753.54|3881.97|8409.28|6452.40|2898.26
BOA ESPERANCA|32500|27500|22000|19000|10000|6000
BOCAINA DE MINAS|8400|7875|6825|6825|5775|4725
BOCAIUVA|8100|6050|4950|6160|3245|3080
BOM DESPACHO|16356.37|12600|8400|15750|5250|1000
BOM JARDIM DE MINAS|6500|4700|2700|4500|2500|2300
BOM JESUS DA PENHA|27500|24000|18000|18800|18500|14500
BOM JESUS DO AMPARO|20000|16000|13000|14000|9000|7000
BOM JESUS DO GALHO|14280|10710|8300|7500|6720|5780
BOM REPOUSO|66000|56000|46000|46000|42000|42000
BOM SUCESSO|20000|15000|10000|18000|13500|8400
BONFIM|33590.03|26872.03|22351.47|21833.52|20360.44|21046.36
BONFINOPOLIS DE MINAS|16500|11000|5500|5500|2750|1650
BONITO DE MINAS|4000|2300|1500|3000|1600|1800
BORDA DA MATA|43388.10|32445|25935|42000|32445|9450
BOTUMIRIM|4000|2700|1700|2300|1500|1000
BRAS PIRES|8500|8000|7000|7000|6000|3500
BRASILANDIA DE MINAS|5600|5000|4500|3600|3400|1500
BRASILIA DE MINAS|1500|1300|1200|1000|900|700
BRASOPOLIS|31900|24750|18480|25300|19250|13750
BRAUNAS|4950|4400|3850|3300|2200|1650
BRUMADINHO|94500|78750|59850|89250|63000|57750
BUENO BRANDAO|44384.82|37727.09|32055.70|27222.69|23129.42|18493.67
BUENOPOLIS|8000|5000|3500|4500|4500|3500
BURITIS|6207.21|3799.43|2606.59|2960.02|1899.71|1192.84
BURITIZEIRO|8652|5407|4635|5407|4326|1545
CABECEIRA GRANDE|13103.75|11138.19|9172.62|6551.87|2620.75|1965.56
CABO VERDE|18664.80|13711.50|9656.90|9656.90|9510.60|7298.50
CACHOEIRA DA PRATA|15900|14300|12700|11100|9500|7950
CACHOEIRA DE MINAS|15292|13756|9218|12234|10703|6116
CACHOEIRA DE PAJEU|3500|2200|1600|2000|1100|1000
CACHOEIRA DOURADA|25200|19180|12600|24500|13720|12460
CAETANOPOLIS|5000|3900|2200|2500|1750|1300
CAETE|34600|31300|27800|24400|21000|17400
CAIANA|25000|22000|20000|17000|15000|6000
CAJURI|23480|20756|18240|16248|14361|11000
CALDAS|42458.67|31909.08|23243.79|23243.79|13987.59|9723.96
CAMACHO|29847.71|26862.94|23878.17|20893.40|17908.63|14923.86
CAMANDUCAIA|27000|24300|21600|18900|16200|13500
CAMBUI|48082.17|45678.06|36061.63|33657.53|24051.09|19232.85
CAMBUQUIRA|35000|25000|18000|30000|22000|15000
CAMPANARIO|6030.08|4780.59|4138.60|3601.02|2325.33|2050.67
CAMPANHA|32250|28845|18345|20625|18345|11445
CAMPESTRE|52139.87|37797.89|19110.06|19138.94|8999.93|8999.93
CAMPINA VERDE|20500|20000|19500|19000|17500|9000
CAMPO AZUL|2800|1800|1200|1300|1000|700
CAMPO BELO|25000|18750|12500|21250|12500|8750
CAMPO DO MEIO|39200|36530|31774|27487.67|23708|13589
CAMPO FLORIDO|28442|21194.21|15547.52|11931.81|10738.62|8948.85
CAMPOS ALTOS|25000|23193.04|15217.39|13043.48|7608.70|5434.78
CAMPOS GERAIS|54100|40500|21420|31270|24600|9800
CANA VERDE|11000|9000|8000|7000|6000|5000
CANAA|16500|14000|9000|11000|8500|7500
CANAPOLIS|38000|33000|29000|28000|23000|14000
CANDEIAS|9000|5500|5000|6500|3500|1750
CANTAGALO|9400|8400|3400|9400|9400|5400
CAPARAO|33000|25000|12000|17000|14500|6000
CAPELA NOVA|20000|17000|11000|20000|13000|10000
CAPELINHA|10419.12|8682.26|3472.70|5788.17|4629.92|2314.45
CAPETINGA|19815.52|13367.06|10390|8256.48|7512.83|6553.68
CAPIM BRANCO|28652.37|24241.03|17634.68|17581.41|17581.41|9962.24
CAPINOPOLIS|41325|37192|33060|37192|24795|20662
CAPITAO ENEAS|10330|6715|5112|6052|6052|6646
CAPITOLIO|26207.20|15000.70|10483|10483|8386.40|4193
CAPUTIRA|25000|20750|12450|16600|12450|8300
CARAI|4396.55|3297.41|2747.84|2253.23|1978.44|1209.05
CARANAIBA|21420|19380|17340|17340|15300|12240
CARANDAI|31083.31|28341.65|24933.31|22124.98|18949.99|14708.32
CARANGOLA|18200|11200|8400|11400|6100|4900
CARATINGA|29534.69|25604.92|22651.46|20195.31|16861.74|14953.29
CARBONITA|2406.32|2234.79|1687.86|2234.79|3208.43|1614.63
CAREACU|18300|16050|10950|14700|10950|6850
CARLOS CHAGAS|5068|3729|3080|3147|2681|2564
CARMESIA|12000|10000|8500|10500|8000|7000
CARMO DA CACHOEIRA|25000|20000|15000|15000|12000|9000
CARMO DA MATA|17000|12500|9000|12000|8500|6000
CARMO DE MINAS|20000|13900|8600|7500|4500|1950
CARMO DO CAJURU|15000|10000|8000|10000|9000|7000
CARMO DO PARANAIBA|28498.80|19312.70|14837.90|12247.40|6004.90|3031.60
CARMO DO RIO CLARO|14464.05|13726.89|12546.23|10331.11|8854.38|5902.12
CARMOPOLIS DE MINAS|20000|16000|11000|18000|13000|8000
CARNEIRINHO|23197.60|18540|14420|15450|14935|12360
CARRANCAS|14700|12100|11000|14700|10000|6000
CARVALHOPOLIS|48250|36200|31360|33100|21700|12100
CARVALHOS|10000|8750|7500|7500|5000|3750
CASA GRANDE|14175|10500|7875|8975|6300|6300
CASCALHO RICO|26400|18700|15400|16500|9350|7920
CASSIA|29062|23798|17160|22698|10358|5264
CATAGUASES|30228.43|22719.69|18892.77|30228.43|22719.69|18892.77
CATAS ALTAS|31396|26748|20934|20934|19770|31396
CATAS ALTAS DA NORUEGA|10000|10000|8000|12000|10000|4000
CATUJI|5327.75|3799.91|3698.18|2772.93|2772.90|2534.09
CATUTI|4700|3600|2700|3400|1900|1900
CEDRO DO ABAETE|5664.86|4830.36|4251.69|2832.43|2278.13|1478.08
CENTRAL DE MINAS|10000|6900|4600|6400|5200|2700
CHACARA|12694.80|10219.31|8103.51|11986|8283.36|7934.25
CHALE|19300|14500|9900|11500|10200|7000
CHAPADA DO NORTE|4700|3500|1600|4100|4100|1800
CHAPADA GAUCHA|5063|3147|2189|2463|1573|1573
CHIADOR|16240|12000|8860|12000|8500|7000
CLARAVAL|17600|12650|10010|11220|10450|5060
CLARO DOS POCOES|10500|7000|3500|3000|2400|1800
CLAUDIO|15000|12000|8700|13700|10500|6000
COIMBRA|30000|27000|25000|25000|23000|10000
COLUNA|6000|4500|4000|3500|3000|1700
COMENDADOR GOMES|18489.08|17318.33|16346.38|15749.96|12966.66|6494.37
COMERCINHO|3311.44|1986.86|1324.58|2649.15|1655.72|1324.58
CONCEICAO DA APARECIDA|22981|19207.97|15426.45|15012|12452.85|8223.31
CONCEICAO DA BARRA DE MINAS|15000|11500|9500|15000|11500|9500
CONCEICAO DAS ALAGOAS|52308.84|46941.95|42474.78|43819.12|35706.02|25966.11
CONCEICAO DAS PEDRAS|15022|12082|9252.90|10341|8708|5225
CONCEICAO DE IPANEMA|11500|10000|5000|10500|6000|4000
CONCEICAO DO MATO DENTRO|13500|10800|7200|7200|7200|8000
CONCEICAO DO PARA|23000|20000|17000|15000|12000|10000
CONCEICAO DO RIO VERDE|27000|22000|20000|20000|17000|15000
CONCEICAO DOS OUROS|14200|12400|9700|10900|9650|5800
CONEGO MARINHO|5000|3500|2000|4500|2000|2000
CONGONHAL|35000|30000|20900|28500|14900|11600
CONGONHAS|25000|18000|13000|18000|14000|13000
CONGONHAS DO NORTE|13000|10500|6500|9500|6500|8000
CONQUISTA|33000|28700|23800|18500|16200|9850
CONSELHEIRO LAFAIETE|21000|15500|12500|19500|13000|9000
CONSELHEIRO PENA|5300|4800|4300|4300|3300|2800
CONSOLACAO|17080|13411|8302|11204|10393|6642
CONTAGEM|60000|55000|50000|20000|20000|10000
COQUEIRAL|26500|22500|20000|18500|14500|6000
CORACAO DE JESUS|6200|3200|2300|4000|1500|2000
CORDISBURGO|4100|2100|700|1300|800|550
CORDISLANDIA|33383.90|26922.50|21538|30153.20|24230.25|16691.95
CORINTO|7750|5500|3600|3500|2200|1300
COROMANDEL|45000|32000|25000|20000|12000|5000
CORONEL FABRICIANO|33880|32670|31460|30250|29040|29040
CORONEL MURTA|2500|1500|800|1500|900|800
CORONEL PACHECO|4507.69|4088.37|3745|4507.69|3745|3328
CORONEL XAVIER CHAVES|19000|15440|13300|13200|12100|10290
CORREGO DANTA|13500|11000|9000|7500|5500|4200
CORREGO DO BOM JESUS|30800|26600|23400|25500|24000|22000
CORREGO FUNDO|18000|15000|13000|14000|11500|10000
CORREGO NOVO|14000|12000|10000|9200|9000|7500
COUTO DE MAGALHAES DE MINAS|6548|3771|3509|3614|3247|1938
CRISOLITA|9266|9266|7138|6499|5052|3144
CRISTAIS|30500|24440|22000|18300|12800|9450
CRISTALIA|4500|3500|2500|4000|2500|2200
CRISTIANO OTONI|16500|16500|12500|16500|12500|10817.20
CRISTINA|22972.59|18331.66|15315.06|18331.66|9165.83|4524.90
CRUCILANDIA|27000|23000|15500|18000|13500|9000
CRUZEIRO DA FORTALEZA|35000|28000|21000|14700|8300|5500
CRUZILIA|15500|14000|12500|11000|9500|8000
CURRAL DE DENTRO|5000|3000|2000|3500|2500|1800
CURVELO|4250|3600|3000|3000|3000|1000
DATAS|20000|14000|7000|12000|6000|6000
DELFIM MOREIRA|31500|26250|18900|21000|17850|12600
DELTA|30775.95|26649.97|24420.35|20933.22|14905.60|7401.15
